YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2M,WS10M,WD10M,Updated_T_C,Power_Output_kW
2022,1,7,12,569.6,262.63,26.49,6.14,220.5,38.54416,252198.13662253058
2022,1,7,13,493.75,229.63,27.11,6.52,229.8,37.44171875,219851.80358367186
2022,1,7,14,355.05,166.47,27.23,6.68,238.5,34.62391625,160367.01468219087
2022,1,7,15,217.82,101.07,26.76,6.65,245.7,31.300185625,100029.35358590304
2022,1,7,16,145.15,64.5,25.41,5.83,253.2,28.5098596875,67577.76832998951
2022,1,7,17,15.82,6.75,21.68,3.79,267.1,22.038026375,7598.072069241978
2022,1,7,18,0.0,0.0,20.02,4.12,285.8,20.02,0.0
2022,1,7,19,0.0,0.0,19.1,4.67,302.8,19.1,0.0
2022,1,7,20,0.0,0.0,18.06,5.26,314.7,18.06,0.0
2022,1,7,21,0.0,0.0,16.9,5.31,323.1,16.9,0.0
2022,1,7,22,0.0,0.0,15.89,5.21,327.8,15.89,0.0
2022,1,7,23,0.0,0.0,15.09,5.11,330.3,15.09,0.0
2022,1,8,0,0.0,0.0,14.38,4.87,332.2,14.38,0.0
2022,1,8,1,0.0,0.0,13.77,4.74,334.2,13.77,0.0
2022,1,8,2,0.0,0.0,13.15,4.34,338.2,13.15,0.0
2022,1,8,3,0.0,0.0,12.39,3.66,343.5,12.39,0.0
2022,1,8,4,0.0,0.0,11.35,2.92,349.5,11.35,0.0
2022,1,8,5,0.0,0.0,10.47,2.59,357.6,10.47,0.0
2022,1,8,6,0.0,0.0,9.71,2.39,6.5,9.71,0.0
2022,1,8,7,61.6,25.71,10.83,2.74,15.0,12.26451,30953.89393647936
2022,1,8,8,263.33,115.03,13.55,2.63,17.1,19.7004013125,127872.04729350122
2022,1,8,9,462.45,204.84,17.14,2.7,0.8,27.920865625,215922.87892710438
2022,1,8,10,627.85,277.98,20.41,3.11,329.7,34.8858665625,283209.96890311036
2022,1,8,11,724.53,321.0,21.99,3.26,317.7,38.627020125,320659.0373149835
2022,1,8,12,749.92,332.55,22.96,3.35,308.1,40.137855,329320.6562690943
2022,1,8,13,703.83,311.75,23.51,3.47,301.8,39.579318687500006,309974.2105108712
2022,1,8,14,586.58,259.86,23.62,3.46,299.8,37.01602075,261753.76057836285
2022,1,8,15,413.75,182.32,23.2,3.39,302.7,32.6671171875,188720.61649853672
2022,1,8,16,206.18,89.14,22.05,2.96,307.7,26.823067,96782.14882922346
2022,1,8,17,23.88,9.52,18.19,2.22,320.3,18.7538665,11647.41534562526
2022,1,8,18,0.0,0.0,16.67,2.43,334.7,16.67,0.0
2022,1,8,19,0.0,0.0,15.92,2.44,350.3,15.92,0.0
2022,1,8,20,0.0,0.0,15.12,2.51,3.0,15.12,0.0
2022,1,8,21,0.0,0.0,14.34,2.61,13.5,14.34,0.0
2022,1,8,22,0.0,0.0,13.61,2.68,22.4,13.61,0.0
2022,1,8,23,0.0,0.0,12.98,2.65,31.9,12.98,0.0
2022,1,9,0,0.0,0.0,12.38,2.62,41.6,12.38,0.0
2022,1,9,1,0.0,0.0,11.79,2.59,51.0,11.79,0.0
2022,1,9,2,0.0,0.0,11.24,2.56,59.5,11.24,0.0
2022,1,9,3,0.0,0.0,10.76,2.49,67.0,10.76,0.0
